features                                                                             train    test
(0,)                                                                               0.56493 0.57080
(5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                        0.97898 0.80240
(5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                        0.97369 0.80547
(11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                                   0.98107 0.78147
(0, 1, 2)                                                                          0.58084 0.56773
(0, 1, 3)                                                                          0.59898 0.59120
(0, 1, 4)                                                                          0.67413 0.59680
(0, 1, 5, 6, 7, 8, 9, 10)                                                          0.86000 0.76467
(0, 1, 11, 12, 13, 14, 15, 16)                                                     0.98787 0.77160
(0, 1, 17, 18, 19, 20, 21, 22)                                                     0.97778 0.77227
(0, 2, 3)                                                                          0.60449 0.58480
(0, 2, 4)                                                                          0.69729 0.61640
(0, 2, 5, 6, 7, 8, 9, 10)                                                          0.86787 0.76467
(0, 2, 11, 12, 13, 14, 15, 16)                                                     0.98747 0.77267
(0, 2, 17, 18, 19, 20, 21, 22)                                                     0.97787 0.76813
(0, 3, 4)                                                                          0.68178 0.60960
(0, 3, 5, 6, 7, 8, 9, 10)                                                          0.85973 0.76213
(0, 3, 11, 12, 13, 14, 15, 16)                                                     0.98711 0.77253
(0, 3, 17, 18, 19, 20, 21, 22)                                                     0.97667 0.77173
(0, 4, 5, 6, 7, 8, 9, 10)                                                          0.92520 0.76080
(0, 4, 11, 12, 13, 14, 15, 16)                                                     0.99613 0.77707
(0, 4, 17, 18, 19, 20, 21, 22)                                                     0.99151 0.77707
(0, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                     0.98622 0.80867
(0, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                     0.98284 0.81013
(0, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                                0.98640 0.78347
(1, 2, 3)                                                                          0.52173 0.51467
(1, 2, 4)                                                                          0.58880 0.56093
(1, 2, 5, 6, 7, 8, 9, 10)                                                          0.81436 0.77773
(1, 2, 11, 12, 13, 14, 15, 16)                                                     0.98102 0.76787
(1, 2, 17, 18, 19, 20, 21, 22)                                                     0.96964 0.76227
(1, 3, 4)                                                                          0.57858 0.55173
(1, 3, 5, 6, 7, 8, 9, 10)                                                          0.80689 0.76587
(1, 3, 11, 12, 13, 14, 15, 16)                                                     0.98036 0.76587
(1, 3, 17, 18, 19, 20, 21, 22)                                                     0.96809 0.75933
(1, 4, 5, 6, 7, 8, 9, 10)                                                          0.86951 0.76587
(1, 4, 11, 12, 13, 14, 15, 16)                                                     0.98764 0.77240
(1, 4, 17, 18, 19, 20, 21, 22)                                                     0.97582 0.76560
(1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)                                     0.98036 0.80320
(1, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 21, 22)                                     0.97227 0.79947
(1, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)                                0.98169 0.78093
(2, 3, 4)                                                                          0.54324 0.51493
