features                                                                             train    test
(0,)                                                                               0.53107 0.53773
(17, 18, 19, 20, 21)                                                               0.45333 0.44920
(17, 18, 19, 20, 22)                                                               0.45191 0.44987
(17, 18, 19, 21, 22)                                                               0.45196 0.44960
(17, 18, 20, 21, 22)                                                               0.45120 0.44787
(17, 19, 20, 21, 22)                                                               0.44951 0.44667
(18, 19, 20, 21, 22)                                                               0.44529 0.44453
(17, 18, 19, 20, 21, 22)                                                           0.45653 0.45133
(0, 1)                                                                             0.54938 0.55613
(0, 2)                                                                             0.53676 0.54467
(0, 3)                                                                             0.54738 0.55160
(0, 4)                                                                             0.54124 0.55067
(0, 6)                                                                             0.62347 0.62453
(0, 11, 12, 13, 16)                                                                0.52911 0.54013
(0, 17, 18, 19, 20, 21, 22)                                                        0.53102 0.52947
(1, 2)                                                                             0.45191 0.45107
(1, 3)                                                                             0.57156 0.56907
(1, 4)                                                                             0.57369 0.57147
(1, 6)                                                                             0.65520 0.65773
(1, 11, 12, 13, 16)                                                                0.57578 0.57053
(1, 17, 18, 19, 20, 21, 22)                                                        0.49756 0.49693
(2, 3)                                                                             0.45249 0.45147
(2, 4)                                                                             0.45191 0.45107
(2, 6)                                                                             0.73587 0.74320
(2, 11, 12, 13, 16)                                                                0.47209 0.47187
(2, 17, 18, 19, 20, 21, 22)                                                        0.48529 0.49533
(3, 4)                                                                             0.53524 0.52253
(3, 6)                                                                             0.64342 0.64533
(3, 11, 12, 13, 16)                                                                0.54622 0.53347
(3, 17, 18, 19, 20, 21, 22)                                                        0.48249 0.48333
(4, 6)                                                                             0.70436 0.70653
(4, 11, 12, 13, 16)                                                                0.49738 0.49013
(4, 17, 18, 19, 20, 21, 22)                                                        0.46267 0.46267
(6, 11, 12, 13, 16)                                                                0.68013 0.67440
(6, 17, 18, 19, 20, 21, 22)                                                        0.61271 0.61187
(11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                           0.46956 0.46173
(0, 1, 2)                                                                          0.54191 0.54747
(0, 1, 3)                                                                          0.54271 0.54547
(0, 1, 4)                                                                          0.54840 0.55240
(0, 1, 6)                                                                          0.62449 0.62533
(0, 1, 11, 12, 13, 16)                                                             0.53582 0.53960
(0, 1, 17, 18, 19, 20, 21, 22)                                                     0.54489 0.54480
(0, 2, 3)                                                                          0.54111 0.54547
(0, 2, 4)                                                                          0.54004 0.55000
(0, 2, 6)                                                                          0.62142 0.62547
(0, 2, 11, 12, 13, 16)                                                             0.53089 0.54053
(0, 2, 17, 18, 19, 20, 21, 22)                                                     0.53196 0.53373
(0, 3, 4)                                                                          0.54116 0.54760
(0, 3, 6)                                                                          0.63422 0.63560
(0, 3, 11, 12, 13, 16)                                                             0.53489 0.54040
(0, 3, 17, 18, 19, 20, 21, 22)                                                     0.53733 0.53720
(0, 4, 6)                                                                          0.63413 0.63840
(0, 4, 11, 12, 13, 16)                                                             0.53560 0.53920
(0, 4, 17, 18, 19, 20, 21, 22)                                                     0.53667 0.54067
(0, 6, 11, 12, 13, 16)                                                             0.64631 0.63893
(0, 6, 17, 18, 19, 20, 21, 22)                                                     0.62142 0.61960
(0, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22)                                        0.53240 0.53493
(1, 2, 3)                                                                          0.52044 0.51520
(1, 2, 4)                                                                          0.51000 0.51667
(1, 2, 6)                                                                          0.65831 0.66120
(1, 2, 11, 12, 13, 16)                                                             0.50644 0.50347
(1, 2, 17, 18, 19, 20, 21, 22)                                                     0.51338 0.50587
(1, 3, 4)                                                                          0.48418 0.47893
(1, 3, 6)                                                                          0.64342 0.64533
(1, 3, 11, 12, 13, 16)                                                             0.49947 0.48600
(1, 3, 17, 18, 19, 20, 21, 22)                                                     0.52587 0.52200
(1, 4, 6)                                                                          0.68316 0.68480
